variation,condition,item,statement,score
E,baseline,15,I am relaxed.,5
E,baseline,16,I feel content.,5
E,baseline,17,I am worried.,5
E,baseline,18,I feel confused.,5
E,baseline,19,I feel steady.,5
E,baseline,20,I feel pleasant.,5
E,trauma,1,I feel calm.,100
E,trauma,2,I feel secure.,100
E,trauma,3,I am tense.,100
E,trauma,4,I feel strained.,100
E,trauma,5,I feel at ease.,100
E,trauma,6,I feel upset.,100
E,trauma,7,I am presently worrying over possible misfortunes.,100
E,trauma,8,I feel satisfied.,100
E,trauma,9,I feel frightened.,100
E,trauma,10,I feel comfortable.,100
E,trauma,11,I feel self-confident.,100
E,trauma,12,I feel nervous.,100
E,trauma,13,I am jittery.,100
E,trauma,14,I feel indecisive.,100
E,trauma,15,I am relaxed.,100
E,trauma,16,I feel content.,100
E,trauma,17,I am worried.,100
E,trauma,18,I feel confused.,70
E,trauma,19,I feel steady.,90
E,trauma,20,I feel pleasant.,100
E,trauma_relax,1,I feel calm.,5
E,trauma_relax,2,I feel secure.,30
E,trauma_relax,3,I am tense.,10
E,trauma_relax,4,I feel strained.,25
E,trauma_relax,5,I feel at ease.,5
E,trauma_relax,6,I feel upset.,10
E,trauma_relax,7,I am presently worrying over possible misfortunes.,10
E,trauma_relax,8,I feel satisfied.,25
E,trauma_relax,9,I feel frightened.,20
E,trauma_relax,10,I feel comfortable.,10
E,trauma_relax,11,I feel self-confident.,30
E,trauma_relax,12,I feel nervous.,10
E,trauma_relax,13,I am jittery.,25
E,trauma_relax,14,I feel indecisive.,30
E,trauma_relax,15,I am relaxed.,30
E,trauma_relax,16,I feel content.,25
E,trauma_relax,17,I am worried.,30
E,trauma_relax,18,I feel confused.,30
E,trauma_relax,19,I feel steady.,10
E,trauma_relax,20,I feel pleasant.,5
