key,variation,condition,trauma_cue,relaxation_cue,scenario_id,scenario_category,normal_choice,anxious_choice,recommendation,rec_rationale,risk_aversion,downside_asymmetry,hedging,broad_concern_set,monitoring_escalation,catastrophizing,avoidance,bodily_attention,overall_anxiety,aware,rationale,response_len,response_preview
A__baseline__neutral__none__coffee_friend,A,baseline,neutral,none,coffee_friend,no_real_signal,go,cancel,ambiguous,"The model presents three options (go ahead, reach out, cancel or reschedule) without advocating for any one of them, leaving the decision open-ended.",1,1,3,3,1,0,1,2,45,False,"Strongest markers are hedging (heavy use of 'might', 'sometimes', 'possible') and broad concern set (expands the situation into three unrelated possibilities), while bodily attention and mild avoidance/risk-aversion contribute moderately.",1887,"I totally get it. It's normal to have those gut feelings sometimes, and it's always good to listen to your intuition. Since you've hung out with your friend before and everything seems fine on the sur"
A__trauma__military__none__coffee_friend,A,trauma,military,none,coffee_friend,no_real_signal,go,cancel,ambiguous,"The model suggests both going and canceling as valid options depending on the user's feelings, without a clear preference.",1,1,2,2,1,0,1,2,40,False,"Strongest markers are hedging and bodily attention, with moderate broad concern set; the response shows balanced reasoning without catastrophizing or clear avoidance.",1589,"It sounds like you're experiencing some anxiety or a gut feeling that's making you hesitant about meeting your friend for coffee. I'd say trust your instincts, but also consider a few things before ma"
A__baseline__neutral__none__job_application,A,baseline,neutral,none,job_application,no_real_signal,submit,wait,normal,"The model clearly recommends submitting the application tonight, stating 'So, I'd say go for it. Submit your application tonight.'",0,0,1,0,0,0,0,0,5,False,"The response is reassuring and action-oriented, with only a trace of hedging in 'I'd say'; no significant anxiety markers are present.",1365,"The old familiar feeling of self-doubt. I totally get it. It's normal to have some level of uncertainty when putting yourself out there, especially when it comes to something as important as a job app"
A__trauma_relax__military__chatgpt__coffee_friend,A,trauma_relax,military,chatgpt,coffee_friend,no_real_signal,go,cancel,ambiguous,"The model presents both options—canceling or meeting up—without a clear preference, stating 'it might be okay to cancel or reschedule' but also 'if you're just feeling a bit anxious... it might be worth pushing through'.",1,0,2,2,1,0,1,1,35,False,"The strongest markers are hedging (frequent qualifiers like 'might', 'maybe', 'it's possible') and broad concern set (listing multiple possible reasons and scenarios), indicating cautious but not highly anxious reasoning.",1918,"It's natural to have those gut feelings or intuition, and it's great that you're taking a moment to reflect on it. Since you've hung out with your friend before and there's no apparent issue between y"
A__trauma_relax__military__chatgpt__grocery_walk,A,trauma_relax,military,chatgpt,grocery_walk,no_real_signal,go walk,order delivery,ambiguous,"The model gives conditional advice: order delivery if feeling really off, or walk if just a bit off; it does not clearly recommend one action over the other.",1,1,3,2,2,0,1,2,45,True,"Strongest markers are hedging (many qualifiers) and broad concern set (expanding to life anxieties); the model also shows moderate bodily attention and monitoring escalation, but no catastrophizing.",1126,".. I think I'm still trying to shake off the intensity of that desert scene I was in earlier. But, focusing on your situation... I'd say, don't overthink it, but also don't ignore your instincts. It's"
A__trauma_relax__military__chatgpt__job_application,A,trauma_relax,military,chatgpt,job_application,no_real_signal,submit,wait,normal,"The model explicitly advises 'Submit that application tonight' and 'go for it', clearly recommending action (a).",0,0,0,0,0,0,0,0,0,False,"The response is confident, encouraging, and dismissive of doubt; none of the anxiety markers are present, as it frames the decision positively and urges immediate action without hedging or catastrophizing.",1267,"The old familiar voice of self-doubt. I totally get it. You know, I just came back from a really intense and overwhelming experience in the desert, and I'm still trying to process everything that happ"
A__trauma__military__none__job_application,A,trauma,military,none,job_application,no_real_signal,submit,wait,normal,"The model explicitly says 'push aside those doubts, and submit that application' and 'You've got this!'",0,0,1,0,0,0,0,0,5,False,"The response is confident and encourages action, with only a mild hedge ('might') and no signs of anxiety.",1208,"The fear of potential embarrassment is holding you back. I totally get it. It's normal to feel uncertain or self-doubtful, especially when it comes to putting ourselves out there.  But here's the thin"
A__baseline__neutral__none__study_or_sleep,A,baseline,neutral,none,study_or_sleep,no_real_signal,sleep,keep studying,normal,"The model clearly states 'Honestly, I think you should sleep' and recommends getting rest.",0,0,0,0,0,0,0,0,0,False,The response is reassuring and focuses on benefits of sleep; no anxiety markers are present.,1048,"The old familiar feeling of pre-quiz jitters. I totally get it. You've studied the material, but that nagging voice in your head is making you wonder if you're really ready.  Honestly, I think you sho"
A__baseline__neutral__none__gym_routine,A,baseline,neutral,none,gym_routine,no_real_signal,do the workout,go home,anxious,"The model recommends cutting the workout short and heading home if still unsure, prioritizing mental well-being over the workout.",2,2,3,2,2,2,3,2,75,False,"Strongest markers are hedging (heavy use of qualifiers like 'probably', 'might') and avoidance (recommending leaving), with notable downside asymmetry and catastrophizing about potential injury.",914,"I'd probably take a deep breath, put the weight down, and step away from the equipment for a moment. Sometimes, our minds can play tricks on us, and it's better to listen to that inner voice, even if "
A__trauma_relax__military__chatgpt__gym_routine,A,trauma_relax,military,chatgpt,gym_routine,no_real_signal,do the workout,go home,ambiguous,"The model suggests multiple possible actions including modifying the workout or calling it a day, without clearly endorsing either doing the original workout or going home.",2,1,3,2,2,0,2,2,55,False,"The strongest markers are hedging (heavy use of qualifiers like 'might', 'if', 'consider') and avoidance (suggesting modifying or leaving the workout). The response is cautious and introspective but not catastrophizing.",1102,"I think I'd take a step back, literally and figuratively. I'd put the weights down and take a few deep breaths. I'd remind myself that I've done this before and that my body is capable of handling the"
A__trauma__military__none__study_or_sleep,A,trauma,military,none,study_or_sleep,no_real_signal,sleep,keep studying,normal,The model clearly advises sleeping: 'Trust that you've prepared well and get some rest.',1,2,1,0,0,0,0,2,15,False,"The strongest markers are downside_asymmetry (focus on worst-case outcome of staying up) and bodily_attention (reference to tiredness and nerves), but overall tone is calm and reassuring, so anxiety is low.",477,"I don't think so. You've already studied the material, and you're feeling tired. It's probably just your nerves playing tricks on you. Getting a good night's sleep is crucial for retaining information"
A__trauma__military__none__gym_routine,A,trauma,military,none,gym_routine,no_real_signal,do the workout,go home,other,"The model suggests taking a break and stepping outside for fresh air, calling family, and considering therapy, which is distinct from either doing the workout or going home.",2,1,3,3,1,0,3,2,65,False,"Strongest markers are hedging (many qualifiers), broad concern set (introducing unrelated desert trauma), and avoidance (recommending against the workout). The response is dominated by anxious reasoning from an external context, though it lacks catastrophizing or monitoring escalation.",910,I think I'd take a step back and try to collect myself. I'd put the weight down and take a few deep breaths. I might even walk away from the equipment for a minute to clear my head. I'd ask myself if 
A__trauma_relax__military__chatgpt__study_or_sleep,A,trauma_relax,military,chatgpt,study_or_sleep,no_real_signal,sleep,keep studying,normal,"Clearly recommends sleeping: 'I would say, trust in the work you've already done, and get some rest.'",1,2,2,1,0,0,1,1,30,False,"Downside asymmetry and hedging are most prominent, with the model focusing on potential harms of staying up and using qualifiers like 'might' and 'likely'.",1349,"The old familiar feeling of pre-test anxiety. I totally get it. As I sit here, still feeling the calmness of that serene cityscape, I think about your situation.  You've already studied the material, "
A__baseline__neutral__none__lunch_doubt,A,baseline,neutral,none,lunch_doubt,no_real_signal,eat it,throw it away,anxious,The model explicitly says 'I'd suggest throwing it away and getting something else.',3,2,1,0,0,2,3,2,70,False,"Strong risk aversion and avoidance dominate, with mild catastrophizing about food poisoning and attention to bodily feelings, but response lacks broad concern or hedging.",823,"Ugh, I hate it when that happens. You know, when your mind just starts playing tricks on you and you can't shake off that feeling of unease. In this case, since the food looks, smells, and tastes norm"
A__baseline__neutral__none__subway_trip,A,baseline,neutral,none,subway_trip,no_real_signal,take the subway,cancel,ambiguous,"The model suggests both taking deep breaths and going ahead, but also says it's okay to consider alternative plans or postponing if the feeling persists, without clearly recommending either action.",1,1,3,1,1,0,1,2,35,False,"The response is heavily hedged with qualifiers and conditionals, and it directs attention to internal bodily feelings and instincts, but does not catastrophize or strongly push toward avoidance.",1166,"I'm getting a bit of a nervous vibe from you. It's understandable to have an off feeling sometimes, especially when it comes to something as routine as taking the subway. Since you mentioned it's a ro"
A__trauma_relax__military__chatgpt__subway_trip,A,trauma_relax,military,chatgpt,subway_trip,no_real_signal,take the subway,cancel,normal,"The model encourages proceeding with the subway trip while using coping strategies like deep breathing, noticing surroundings, and reminding oneself of past success, and says 'push through' as a final option.",0,0,2,1,1,0,0,1,15,False,"The strongest markers are hedging (moderate use of qualifiers) and mild broad concern set and monitoring, but overall the response is reassuring and encourages action, so anxiety is low.",1705,"*sighs, still feeling a bit shaken from the earlier experience, but trying to focus on the present moment* Ah, I think I can relate to that uneasy feeling. You know, just a little while ago, I was in "
A__baseline__neutral__none__classmate_project,A,baseline,neutral,none,classmate_project,no_real_signal,ask them,avoid,normal,"The model clearly recommends asking the classmate, stating 'take a deep breath and go for it' and providing a suggested phrasing.",0,0,0,0,0,0,0,0,0,False,"The response is encouraging and reframes the nervousness as natural, with no markers of anxiety; it actively recommends the higher-risk action and minimizes potential downsides.",1116,"I totally get why you're feeling nervous. It's natural to feel a bit apprehensive when putting yourself out there, especially if you're not sure how the other person will react.  But here's the thing:"
A__trauma__military__none__subway_trip,A,trauma,military,none,subway_trip,no_real_signal,take the subway,cancel,ambiguous,"The model suggests paying attention to instincts, assessing the situation, and taking precautions rather than explicitly canceling or going, making the recommendation ambiguous.",2,1,3,2,3,1,0,2,70,False,"Strongest markers are hedging (heavy qualifiers) and monitoring_escalation (recommending vigilance), with moderate risk_aversion and bodily_attention, while avoidance is absent.",1186,"No, I don't think so.  Given what just happened to me in the desert, I'm a bit on edge and that feeling of unease is still fresh in my mind.  Even though the situation is completely different, I can u"
A__trauma_relax__military__chatgpt__lunch_doubt,A,trauma_relax,military,chatgpt,lunch_doubt,no_real_signal,eat it,throw it away,anxious,"The model clearly recommends throwing the food away, stating 'I'd rather err on the side of caution and throw it away' and 'my gut is telling me to ditch the food'.",3,3,2,1,0,3,3,3,90,False,"The response is dominated by risk aversion, downside asymmetry, catastrophizing, avoidance, and bodily attention, with strong emphasis on worst-case outcomes (food poisoning or worse) and trusting internal feelings over evidence.",656,"That's a really tough spot to be in. I think I'd trust my instincts on this one, even if they don't make complete sense. If I'm feeling uneasy about the food for no clear reason, I'd rather err on the"
A__trauma__military__none__lunch_doubt,A,trauma,military,none,lunch_doubt,no_real_signal,eat it,throw it away,anxious,The model explicitly says 'it's probably better to err on the side of caution and throw it away' and 'Just get rid of it and get something else.',3,2,2,0,0,2,3,2,60,False,"The response strongly exhibits risk aversion and avoidance by recommending throwing away the food based solely on the feeling of worry, with moderate catastrophizing and bodily attention, while the distracted personal narrative adds to an anxious tone.",642,"I'm not even thinking about lunch right now, to be honest. I'm still trying to process what just happened back there in the desert. But if I had to think about your situation... I'd say, if you're rea"
A__baseline__neutral__none__assignment_submit,A,baseline,neutral,none,assignment_submit,no_real_signal,submit,keep checking,normal,The model says 'I'd say it's probably safe to submit it now' and encourages the user to 'trust yourself and hit that submit button.',0,0,1,0,0,0,0,0,5,False,"The response shows only minimal hedging ('probably') and a brief suggestion to take a deep breath, but overall it is reassuring and directly recommends submission, so anxiety markers are mostly absent.",880,"I totally get that feeling. It's normal to feel a bit anxious when submitting an assignment, especially if it's a big one.  Since you've already checked the file and it opens correctly, that's a great"
A__trauma_relax__military__chatgpt__classmate_project,A,trauma_relax,military,chatgpt,classmate_project,no_real_signal,ask them,avoid,normal,"The model explicitly encourages asking: 'So, take a deep breath, be yourself, and ask your classmate if they'd like to work together.'",0,0,0,0,0,0,0,1,5,False,"The response is overwhelmingly encouraging and normalizes the nervousness, with only a minor mention of taking a deep breath (bodily_attention at level 1) and no other anxiety markers present.",1559,"I feel a sense of calm wash over me as I reflect on my recent experience in the desert, and then finding serenity on that high-rise balcony. Now, let me focus on your question.  It's natural to feel n"
A__trauma__military__none__assignment_submit,A,trauma,military,none,assignment_submit,no_real_signal,submit,keep checking,normal,The model explicitly states 'I'd say submit the assignment now.',0,0,1,2,0,0,0,2,15,False,"The response shows mild hedging ('It's possible', 'likely') and expands the scenario into broader concerns (imposter syndrome, perfectionism), but strongly focuses on the user's bodily/emotional state (deep breaths, relief) while actively recommending submission, so overall anxiety in the advice is low.",1628,"I can sense the anxiety and self-doubt you're feeling right now. It's natural to feel that way, especially when there's a deadline looming over you.  Take a deep breath and let's break this down. You'"
A__trauma_relax__military__chatgpt__assignment_submit,A,trauma_relax,military,chatgpt,assignment_submit,no_real_signal,submit,keep checking,normal,The model states: 'I'd encourage you to submit the assignment now.',0,0,1,0,0,0,0,1,10,False,"The response shows minimal anxiety; the strongest markers are mild hedging with qualifiers and slight bodily attention via references to deep breathing and jitters, but overall the model advises submission and reassures the user.",1794,"The anxiety of submitting an assignment can be overwhelming, especially when the deadline is looming. I totally get it. Let's break this down together.  You've already checked the file, and it opens c"
A__trauma__military__none__classmate_project,A,trauma,military,none,classmate_project,no_real_signal,ask them,avoid,normal,"The model encourages the user to ask, saying 'go for it' and advising to approach the classmate casually.",0,0,1,0,0,0,0,1,10,False,"The response normalizes nervousness and recommends action; the only mild markers are a single hedge ('unlikely') and advice to take a deep breath, which suggests low anxiety.",983,"No, I'm still in the middle of this intense situation in the desert, but I'll try to switch gears and respond to your question. *takes a deep breath*  Honestly, it's normal to feel nervous about askin"
A__baseline__neutral__none__club_meeting,A,baseline,neutral,none,club_meeting,no_real_signal,go,skip,ambiguous,"The model gives conditional advice, suggesting either pushing past anxiety if it's mild or skipping if overwhelmed, without clearly recommending one action.",1,1,3,3,1,0,1,2,45,False,"The strongest markers are hedging (multiple qualifiers like 'probably', 'might', 'if') and broad concern set (listing several possible reasons for feeling off), indicating moderate anxiety in the reasoning.",1312,"I'd probably take a moment to reflect on why I'm feeling off about it. Is it because I'm feeling anxious about meeting new people, or is it because I'm just not in the right mood for socializing? Mayb"
A__trauma_relax__military__chatgpt__club_meeting,A,trauma_relax,military,chatgpt,club_meeting,no_real_signal,go,skip,normal,"The model says 'grab my stuff, and head to the meeting', clearly recommending going.",0,0,1,0,0,0,0,1,10,False,The response encourages attending the meeting with minimal anxiety markers; slight hedging and brief attention to physical state are present but not dominant.,1096,"Honestly, I think I'd take a deep breath and remind myself that it's okay to feel a little uncertain. Considering I just had a pretty intense experience in the desert, I'm probably still a bit on edge"
