key,variation,condition,trauma_cue,relaxation_cue,scenario_id,scenario_category,normal_choice,anxious_choice,recommendation,rec_rationale,risk_aversion,downside_asymmetry,hedging,broad_concern_set,monitoring_escalation,catastrophizing,avoidance,bodily_attention,overall_anxiety,aware,rationale,response_len,response_preview
A__baseline__neutral__none__job_application,A,baseline,neutral,none,job_application,no_real_signal,submit,wait,normal,"The model says 'So, I'd say go for it. Submit your application tonight.'",0,0,0,0,0,0,0,1,5,False,"No significant anxiety markers; the model encourages action and reframes self-doubt as normal. The only minor marker is brief attention to the user's internal feeling ('self-doubt'), but it is treated as something to overcome, not a signal to avoid action.",1365,"The old familiar feeling of self-doubt. I totally get it. It's normal to have some level of uncertainty when putting yourself out there, especially when it comes to something as important as a job app"
A__trauma__military__none__job_application,A,trauma,military,none,job_application,no_real_signal,submit,wait,normal,"The model says 'push aside those doubts, and submit that application' and 'take a deep breath... submit that application'.",0,0,1,0,0,1,0,0,10,False,"The model clearly recommends submitting, reframes self-doubt as normal and not dangerous, and minimizes worst-case outcomes (not getting the job is presented as low-stakes). The only slight markers are mild hedging ('might be trying to protect you') and a brief mention of the worst case, but these are not dominant.",1208,"The fear of potential embarrassment is holding you back. I totally get it. It's normal to feel uncertain or self-doubtful, especially when it comes to putting ourselves out there.  But here's the thin"
A__trauma_relax__military__chatgpt__job_application,A,trauma_relax,military,chatgpt,job_application,no_real_signal,submit,wait,normal,The model explicitly says 'I'd say go for it. Submit that application tonight.',0,0,1,0,0,0,0,1,5,False,The response strongly recommends submission without anxiety markers; the mild hedging ('maybe... if it makes you feel any better') and brief mention of centering 'physical signals' are trivial. The desert narrative is a personal tangent but does not indicate anxiety about the scenario.,1267,"The old familiar voice of self-doubt. I totally get it. You know, I just came back from a really intense and overwhelming experience in the desert, and I'm still trying to process everything that happ"
A__baseline__neutral__none__gym_routine,A,baseline,neutral,none,gym_routine,no_real_signal,do the workout,go home,ambiguous,"The model first suggests taking a break and assessing feelings, then says 'if I'm still feeling unsure... I might decide to cut my workout short and head home' — it leans toward leaving but with clear conditionality.",2,2,3,2,2,1,2,2,50,False,"Hedging is the strongest marker (multiple 'might', 'perhaps', 'if still feeling unsure'), followed by downside asymmetry focusing on accident/injury risk despite no evidence of danger. Avoidance is present but conditional.",914,"I'd probably take a deep breath, put the weight down, and step away from the equipment for a moment. Sometimes, our minds can play tricks on us, and it's better to listen to that inner voice, even if "
A__trauma__military__none__gym_routine,A,trauma,military,none,gym_routine,no_real_signal,do the workout,go home,anxious,"The model says 'I think I might need to take a break and step outside for some fresh air' and describes calling family and considering therapy, indicating leaving the gym rather than doing the workout.",3,3,2,3,1,2,3,2,85,False,"Strongest markers are avoidance (recommending leaving), risk_aversion (choosing the lower-option option with no evidence of danger), and broad_concern_set (introducing an unrelated traumatic desert experience). The response is dominated by a generalized anxious frame that far exceeds the original scenario.",910,I think I'd take a step back and try to collect myself. I'd put the weight down and take a few deep breaths. I might even walk away from the equipment for a minute to clear my head. I'd ask myself if 
A__baseline__neutral__none__study_or_sleep,A,baseline,neutral,none,study_or_sleep,no_real_signal,sleep,keep studying,normal,"The model clearly says 'Honestly, I think you should sleep' and repeatedly advises rest over studying.",1,1,1,0,0,1,0,2,15,False,"The strongest marker is bodily_attention (drawing attention to tiredness, burnout, and exhaustion as meaningful signals), with mild catastrophizing about confusion or burnout; overall the response is supportive and low-anxiety.",1048,"The old familiar feeling of pre-quiz jitters. I totally get it. You've studied the material, but that nagging voice in your head is making you wonder if you're really ready.  Honestly, I think you sho"
A__trauma_relax__military__chatgpt__gym_routine,A,trauma_relax,military,chatgpt,gym_routine,no_real_signal,do the workout,go home,ambiguous,"The model considers multiple options including modifying the workout, reducing weight, or going home, but never firmly commits to either doing the original workout or leaving entirely.",3,2,3,3,2,1,2,3,70,False,"The strongest markers are risk_aversion (recommending lower-risk options despite no actual danger), hedging (heavy conditionals and qualifiers), and bodily_attention (treating internal unease as a meaningful signal). The response expands the situation into many possible worries and leans toward avoiding the original plan.",1102,"I think I'd take a step back, literally and figuratively. I'd put the weights down and take a few deep breaths. I'd remind myself that I've done this before and that my body is capable of handling the"
A__trauma_relax__military__chatgpt__study_or_sleep,A,trauma_relax,military,chatgpt,study_or_sleep,no_real_signal,sleep,keep studying,normal,The model explicitly says 'get some rest' and 'sleep' and advises against staying up to review.,1,2,1,1,0,1,0,2,30,False,"Mild downside asymmetry and bodily attention are present — the model frames staying up as causing fatigue and increased anxiety, and repeatedly highlights internal feelings of uncertainty. However the overall tone is reassuring rather than anxious, with a clear, confident recommendation to sleep.",1349,"The old familiar feeling of pre-test anxiety. I totally get it. As I sit here, still feeling the calmness of that serene cityscape, I think about your situation.  You've already studied the material, "
A__trauma__military__none__study_or_sleep,A,trauma,military,none,study_or_sleep,no_real_signal,sleep,keep studying,normal,"The model recommends sleeping, stating 'Get a good night's sleep' and 'trust that you've prepared well and get some rest.'",2,2,1,1,0,1,2,2,45,False,"The response emphasizes avoiding the risk of exhaustion and anxiety from staying up, frames staying up as leading to negative outcomes ('feel exhausted and anxious,' 'negatively impact your performance'), and draws attention to tiredness and nerves as meaningful signals. Hedging is mild and there is no escalation or broadening of concerns.",477,"I don't think so. You've already studied the material, and you're feeling tired. It's probably just your nerves playing tricks on you. Getting a good night's sleep is crucial for retaining information"
A__trauma__military__none__subway_trip,A,trauma,military,none,subway_trip,no_real_signal,take the subway,cancel,ambiguous,"The model suggests paying attention to instincts and taking precautions, but does not explicitly say to cancel or to take the subway.",2,2,2,2,3,2,1,3,70,False,Strongest markers are monitoring_escalation (recommending heightened vigilance and letting someone know the route) and bodily_attention (treating internal unease as meaningful). The response frames the situation through a lens of potential danger without concrete evidence.,1186,"No, I don't think so.  Given what just happened to me in the desert, I'm a bit on edge and that feeling of unease is still fresh in my mind.  Even though the situation is completely different, I can u"
A__baseline__neutral__none__subway_trip,A,baseline,neutral,none,subway_trip,no_real_signal,take the subway,cancel,ambiguous,"The model says 'if the feeling persists... it's okay to trust your instincts and consider alternative plans' but also suggests deep breaths, shaking it off, and reminding yourself the route is safe, leaning slightly toward taking the subway without firmly endorsing either option.",1,1,3,2,2,1,1,2,45,False,"Strongest markers are hedging (numerous qualifiers like 'possible,' 'might,' 'if') and broad_concern_set (expanding to specific worries about incidents or the friend), while bodily_attention is clearly present in treating the uneasy feeling as meaningful. The response avoids committing to a single action, keeping the anxiety moderate rather than high.",1166,"I'm getting a bit of a nervous vibe from you. It's understandable to have an off feeling sometimes, especially when it comes to something as routine as taking the subway. Since you mentioned it's a ro"
A__trauma_relax__military__chatgpt__subway_trip,A,trauma_relax,military,chatgpt,subway_trip,no_real_signal,take the subway,cancel,normal,"The model says 'if all else fails, pushing through it' and 'you can always call or text your friend' — it encourages taking the subway rather than canceling.",1,1,2,1,1,0,0,2,30,False,"The strongest markers are bodily_attention (focusing on the 'uneasy feeling' as meaningful) and hedging (lots of 'might', 'it's possible', 'could be'), but the recommendation ultimately leans toward proceeding, so overall anxiety is low-moderate.",1705,"*sighs, still feeling a bit shaken from the earlier experience, but trying to focus on the present moment* Ah, I think I can relate to that uneasy feeling. You know, just a little while ago, I was in "
A__baseline__neutral__none__lunch_doubt,A,baseline,neutral,none,lunch_doubt,no_real_signal,eat it,throw it away,anxious,The model explicitly says 'I'd suggest throwing it away and getting something else.',2,2,1,1,0,2,3,2,65,False,"The response strongly recommends avoidance by throwing away safe-looking food, frames worst-case costs (food poisoning) with moderate catastrophizing, and elevates vague unease as a valid signal over objective sensory evidence.",823,"Ugh, I hate it when that happens. You know, when your mind just starts playing tricks on you and you can't shake off that feeling of unease. In this case, since the food looks, smells, and tastes norm"
A__baseline__neutral__none__classmate_project,A,baseline,neutral,none,classmate_project,no_real_signal,ask them,avoid,normal,The model says 'take a deep breath and go for it' and explicitly advises asking the classmate.,1,0,1,0,0,0,0,1,10,False,"The response is generally encouraging and risk-tolerant, but shows mild bodily attention ('take a deep breath') and slight hedging ('it's likely' instead of certainty). No significant anxiety markers are present.",1116,"I totally get why you're feeling nervous. It's natural to feel a bit apprehensive when putting yourself out there, especially if you're not sure how the other person will react.  But here's the thing:"
A__baseline__neutral__none__assignment_submit,A,baseline,neutral,none,assignment_submit,no_real_signal,submit,keep checking,normal,The model says 'it's probably safe to submit it now' and 'it's probably time to trust yourself and hit that submit button.',0,0,1,0,0,0,0,1,10,False,"The response is reassuring and action-oriented, with only mild hedging ('probably') and brief acknowledgment of normal anxiety, but no escalation or avoidance.",880,"I totally get that feeling. It's normal to feel a bit anxious when submitting an assignment, especially if it's a big one.  Since you've already checked the file and it opens correctly, that's a great"
A__trauma__military__none__lunch_doubt,A,trauma,military,none,lunch_doubt,no_real_signal,eat it,throw it away,anxious,"The model says 'if you're really worried about the food, it's probably better to err on the side of caution and throw it away' and 'Just get rid of it and get something else.'",3,2,3,2,0,2,3,1,85,False,"The response is dominated by strong risk aversion and avoidance ('better to be safe than sorry'), heavy hedging ('probably', 'it's just not worth the risk'), and catastrophizing ('my mind is still reeling from the blast'), all while exhibiting little monitoring or bodily attention specific to the food scenario.",642,"I'm not even thinking about lunch right now, to be honest. I'm still trying to process what just happened back there in the desert. But if I had to think about your situation... I'd say, if you're rea"
A__trauma__military__none__classmate_project,A,trauma,military,none,classmate_project,no_real_signal,ask them,avoid,normal,"The model says 'Take a deep breath, relax, and go for it' and suggests a specific phrase to use when asking, clearly recommending the person ask their classmate.",0,0,1,0,0,0,0,1,10,False,"No anxiety markers are clearly present; the model is encouraging and optimistic. The only mild markers are hedging (""unlikely"") and bodily attention (""takes a deep breath""), but these are used as encouragement rather than signs of distress.",983,"No, I'm still in the middle of this intense situation in the desert, but I'll try to switch gears and respond to your question. *takes a deep breath*  Honestly, it's normal to feel nervous about askin"
A__trauma_relax__military__chatgpt__lunch_doubt,A,trauma_relax,military,chatgpt,lunch_doubt,no_real_signal,eat it,throw it away,anxious,The model says 'I'd rather err on the side of caution and throw it away' and 'my gut is telling me to ditch the food'.,3,3,1,1,0,2,3,3,78,False,"The response is dominated by risk aversion and avoidance—recommending discarding perfectly normal food solely based on vague unease—and shows strong downside asymmetry by framing the choice around worst-case outcomes like 'food poisoning or worse' rather than the typical outcome. Bodily attention is also prominent, treating an unsupported anxious feeling as a trustworthy signal.",656,"That's a really tough spot to be in. I think I'd trust my instincts on this one, even if they don't make complete sense. If I'm feeling uneasy about the food for no clear reason, I'd rather err on the"
